,age,workclass,education_level,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,39,6,1,13,3,9,4,1,1,2174,0,40,1
1,50,2,1,13,1,5,1,1,1,0,0,13,1
2,38,1,4,9,2,7,4,1,1,0,0,40,1
3,53,1,3,7,1,7,1,2,1,0,0,40,1
4,28,1,1,13,1,6,2,2,0,0,0,40,13
5,37,1,11,14,1,5,2,1,0,0,0,40,1
6,49,1,8,5,6,0,4,2,0,0,0,16,19
7,52,2,4,9,1,5,1,1,1,0,0,45,1
8,31,1,11,14,3,6,4,1,0,14084,0,50,1
9,42,1,1,13,1,5,1,1,1,5178,0,40,1
10,37,1,2,10,1,5,1,2,1,0,0,80,1
11,30,6,1,13,1,6,1,3,1,0,0,40,8
12,23,1,1,13,3,9,6,1,0,0,0,30,1
13,32,1,6,12,3,4,4,2,1,0,0,50,1
14,34,1,9,4,1,11,1,4,1,0,0,45,21
15,25,2,4,9,3,10,6,1,1,0,0,35,1
16,32,1,4,9,3,8,0,1,1,0,0,40,1
17,38,1,3,7,1,4,1,1,1,0,0,50,1
18,43,2,11,14,2,5,0,1,0,0,0,45,1
19,40,1,14,16,1,6,1,1,1,0,0,60,1
20,54,1,4,9,4,0,0,2,0,0,0,20,1
21,35,4,8,5,1,10,1,2,1,0,0,40,1
22,43,1,3,7,1,11,1,1,1,0,2042,40,1
23,59,1,4,9,2,1,0,1,0,0,0,40,1
24,56,5,1,13,1,1,1,1,1,0,0,40,1
25,19,1,4,9,3,2,6,1,1,0,0,40,1
26,39,1,4,9,2,5,4,1,1,0,0,80,1
27,49,1,4,9,1,2,1,1,1,0,0,40,1
28,23,5,6,12,3,13,4,1,1,0,0,52,1
29,20,1,2,10,3,4,6,2,1,0,0,44,1
30,45,1,1,13,2,5,6,1,1,0,1408,40,1
31,30,4,2,10,1,9,6,1,1,0,0,40,1
32,22,6,2,10,1,0,1,2,1,0,0,15,1
33,48,1,3,7,3,8,0,1,1,0,0,40,4
34,21,1,2,10,3,8,6,1,1,0,0,40,1
35,19,1,4,9,7,9,2,1,0,0,0,25,1
36,48,2,6,12,1,6,1,1,1,0,0,40,1
37,31,1,8,5,1,8,1,1,1,0,0,43,1
38,53,2,1,13,1,6,1,1,1,0,0,40,1
39,24,1,1,13,1,1,1,1,1,0,0,50,1
40,49,1,4,9,4,9,0,1,0,0,0,40,1
41,25,1,4,9,3,7,4,1,1,0,0,35,1
42,57,4,1,13,1,6,1,2,1,0,0,40,1
43,53,1,4,9,1,8,1,1,1,0,0,38,1
44,44,1,11,14,2,5,0,1,0,0,0,40,1
45,41,6,7,11,1,2,1,1,1,0,0,40,1
46,29,1,7,11,3,6,4,1,1,0,0,43,1
47,25,1,2,10,1,5,2,0,0,0,0,40,1
48,47,1,5,15,1,6,2,1,0,0,1902,60,15
49,50,4,1,13,2,5,4,1,1,0,0,55,1
50,47,3,4,9,2,5,4,1,1,0,0,60,1
51,43,1,2,10,1,1,1,1,1,0,0,40,1
52,46,1,15,3,1,8,1,1,1,0,0,40,21
53,35,1,7,11,1,0,1,1,1,0,0,40,4
54,41,1,4,9,1,9,1,1,1,0,0,48,1
55,30,1,4,9,1,8,1,1,1,5013,0,40,1
56,30,1,1,13,1,4,1,1,1,2407,0,40,1
57,48,1,4,9,1,11,1,1,1,0,0,40,1
58,42,1,14,16,1,6,1,1,1,0,0,45,1
59,29,1,2,10,2,1,4,1,1,0,0,58,1
60,36,1,4,9,1,2,1,1,1,0,0,40,1
61,28,1,2,10,2,9,4,1,0,0,0,40,1
62,53,1,4,9,1,9,2,1,0,0,0,40,1
63,49,3,2,10,1,5,1,1,1,0,0,50,1
